"2-комн. кв., 52 м2","Бишкек, Сквер Тоголок Молдо, Коенкозова/Чуйкова",$ 600,48 939 сом,+996 501 55-15-25,"Описание от арендодателя                                            
Сдам 2-х ком квартиру. Со всеми условиями для комфортного проживания. С мебелью и быт.техникой. На долгий срок.",74.5939,42.8656
"3-комн. кв., 94 м2","Бишкек, Военторг, Сыдыкова/Коенкозова",$ 1 200,97 879 сом,+996 507 08-07-97,"Описание от арендодателя                                            
Сдается 3х комнатная квартира
Сыдыкова Коенкозова
94 кв метров
10 этаж 14
Новый элитный дом
Первичная сдача

Цена аренды 1200$
Депозит",74.5936,42.8733
"5-комн. кв., 250 м2","Бишкек, Золотой квадрат, пр. Эркиндик 9/боконбаева",$ 2 500,203 914 сом,+996 779 33-83-42,"Описание от арендодателя                                            
Сдаю 5кв, элитка, Боконбаева/Дзержинка, 9/10, евро ремонт, полностью мебелированная, со всеми коммуникациями, подземный паркинг, окна выходят во двор, и на бульвар дзержинку. На первом этаже кафе ""Беладжио"", рядом кафе "" Бублик"", бульвар, школа""6"", хорошая транспортная развязка, сдаем на долгий срок, цена 2500$ и депозит",74.6071,42.8672
"2-комн. кв., 75 м2","Бишкек, Магистраль, мира/магистраль",$ 500,40 783 сом,+996 507 08-07-97,"Описание от арендодателя                                            
сдается 2х комнатная квартира
мира магистраль
2 этаж из 9
элитка
в квартире имеется все необходимое для комфортного проживания

цена аренды 500$
депозит",74.5839,42.8272
"3-комн. кв., 70 м2","Бишкек, Золотой квадрат, Боконбаева 103/бульв. Эркиндик",$ 800,65 252 сом,+996 501 55-15-25,"Описание от арендодателя                                            
Сдам 3-х ком квартиру в ЖК Триумф стиль. В квартире созданы все условия для комфортного проживания. Полностью с мебелью и быт.техникой.",74.6077,42.8672
"3-комн. кв., 110 м2","Бишкек, Вечерка",$ 1 000,81 566 сом,+996 501 55-15-25,"Описание от арендодателя                                            
Сдам 3-х ком квартиру в центре города. Со всеми условиями для комфортного проживания.С мебелью и быт.техникой.",74.6118,42.8648
"3-комн. кв., 100 м2","Бишкек, 12 м-н, Каралаева",$ 1 500,122 348 сом,+996 501 55-15-25,"Описание от арендодателя                                            
Сдам 3-х комнатную квартиру в 12 мкр . В квартире созданы все условия .С мебелью и быт. техникой. Из окон панорамный вид на город. Тихий спальный район. С развитой соц. инфраструктурой.",74.6383,42.8156
"3-комн. кв., 138 м2","Бишкек, Военторг, Сыдыкова/Коенкозова",$ 1 200,97 879 сом,+996 559 17-18-75,"Описание от арендодателя                                            
Сдаю 3к. кв. Авангард Стиль, «Золотой квадрат», на долгий срок, 1200т.$
Сдается 3 комнатная просторная квартира с ремонтом,
Расположена на 5 этаже из 9,
Жилой комплекс «Миллениум»,
Полностью оборудована необходимой мебелью и техникой,
Установлен водонагреватель,
Закрытая охраняемая территория,
Озелененный двор, детская площадка,
Квартира расположена в центре города,
Ориентир ул. Сыдыкова/ул. Исанова,

Квартира сдается только на долгий срок,
Депозит 600$.

Цена: 1200$ ежемесячно,
Звоните: 0559 17 18 75;",74.5928,42.8733
"3-комн. кв., 100 м2","Бишкек, Золотой квадрат",$ 1 100,89 722 сом,+996 507 08-07-97,"Описание от арендодателя                                            
Сдается 3х комнатная квартира
Золотой квадрат
8 этаж из 12

Цена аренды 1100$
Депозит",74.6041,42.8723
"1-комн. кв., 35 м2","Бишкек, Юг-2 м-н 45",$ 25,2 000 сом,+996 502 14-71-49,Описание отсутствует,74.609,42.8591
"1-комн. кв., 45 м2","Бишкек, Московская/Тимирязева",$ 18,1 500 сом,+996 709 77-55-66,"Описание от арендодателя                                            
Сдаем комфортабельную 1 ком квартиру на часы, день, ночь.

Есть все необходимое.
Всегда чистое постельное бельё и полотенца.

2 часа от 600сом,
Ночь от 1500 сом

У нас не курят!

При себе иметь паспорт или водительские права.   

Тел 0709 775566",74.5795,42.8709
"3-комн. кв., 70 м2","Бишкек, Золотой квадрат, Жоомарта Боконбаева, 103",$ 800,65 252 сом,+996 995 88-10-81,"Описание от арендодателя                                            
Сдается в аренду на длительный срок трехкомнатная благоустроенная квартира, которая находится на пересечении Эркиндик/Боконбаева. В районе имеются все необходимое учреждения для комфортной жизни. Отличная социальная инфраструктура и хорошая транспортная развязка. В квартире уже есть все необходимое: ( кухонный гарнитур, мягкая мебель, бытовая техника)
 Доп. описание: санузел раздельный, , пластиковые окна, в доме есть: детская площадка, закрытый двор, ворота, охрана, видеонаблюдение, наземный паркинг, подземный паркинг, гостевой паркинг, лифт пассажирский, ремонт по дизайн-проекту, также имеются: телефон, интернет, кабельное телевидение, счетчики холодной и горячей воды, домофон, железная дверь, телевидение, , , , , , , Номер в базе: 8349744. Район: Первомайский район",74.6075,42.8672
"2-комн. кв., 86 м2","Бишкек, Цирк/Дворец бракосочетания",$ 740,60 359 сом,+996 501 25-55-41,"Описание от арендодателя                                            
Сдаём 2х ком квартиру в центре города,в элитном доме на бульваре Эркиндик/жумабека. 
Идеальное месторасположение.
Площадь:86 кв м, 
на 9 этаже, вид из окна на горы, окна сделаны на заказ из Италии,раздаиваются полностью, полы сделаны из травертина, иметься тёплые водяные полы, привезённые из Германии, европейский дизайн и качественный ремонт. Двери стеклянные, сделанные на заказ. Тихий двор, иметься лифт, парковка, рядом с парком, школа в 100 метрах, Аптека.

Цена: 740$

Тел: 0501 255-541
         0555 962-096
             Улук",74.6079,42.8816
"3-комн. кв., 105 м2","Бишкек, Филармония",$ 900,73 409 сом,+996 501 55-15-25,"Описание от арендодателя                                            
Сдам 3-х комнатную квартиру.В центре города.Отличный район ,в квартире созданы все условия для комфортного проживания.Все  в шаговой доступности.",74.5916,42.8782
"3-комн. кв., 76 м2","Бишкек, Карпинка, Фрунзе 300/3/Гоголя",$ 700,57 096 сом,+996 507 08-07-97,"Описание от арендодателя                                            
Сдается 3х комнатная квартира
Гоголя Фрунзе
76 кв метров
9 этаж из 16

Цена аренды 700$
Депозит",74.6204,42.8804
"3-комн. кв., 148 м2","Бишкек, Дворец спорта, пр.Чуй/Исанова",$ 800,65 252 сом,+996 556 62-32-08,"Описание от арендодателя                                            
Сдаю 3 ком.кв. р-он ул.Исанова/пр.Чуй, Дврец Спорта

 

квартира на 8 этаже, общей площадью 148кв.м.

 

большой двор, охрана, паркинг во дворе.

 

цена 800$+деп

 

0704 804 888",74.5929,42.8774
"1-комн. кв., 42 м2","Бишкек, Московская - Уметалиева",$ 18,1 500 сом,+996 709 77-55-66,"Описание от арендодателя                                            
Сдаётся чистая 1 ком квартира. Московская Уметалиева.

Отличные условия для комфортного отдыха.  

Скоростной Wi-Fi, телевизор с кабельным тв.

Ежедневная уборка. Идеальная чистота. 
Удобная транспортная доступность.

Цены:
2часа от 600с, 
Ночь от 1500 с

Тел 0709 775566",74.5806,42.87
"2-комн. кв., 72 м2","Бишкек, Старый аэропорт, Исы Ахунбаева, 186",$ 600,48 939 сом,+996 995 88-10-81,"Описание от арендодателя                                            
Сдается в аренду на длительный срок двухкомнатная благоустроенная квартира, которая находится на пересечении Ахйнбаева/Чапаева. В районе имеются все необходимое учреждения для комфортной жизни. Отличная социальная инфраструктура и хорошая транспортная развязка. В квартире уже есть все необходимое: ( кухонный гарнитур, мягкая мебель, бытовая техника, кондиционер и т.д)
 Доп. описание: санузел раздельный, плита газовая, пластиковые окна, в доме есть: детская площадка, закрытый двор, ворота, видеонаблюдение, наземный паркинг, лифт пассажирский, современный ремонт, также имеются: телефон, интернет, кабельное телевидение, кондиционер, счетчики холодной и горячей воды, домофон, железная дверь, телевидение, , , , , , , , Номер в базе: 8348862. Район: Ленинский район",74.5805,42.842
"3-комн. кв., 70 м2","Бишкек, Золотой квадрат",$ 800,65 252 сом,+996 507 08-07-97,"Описание от арендодателя                                            
Сдается 3х комнатная квартира
Золотой квадрат
70 кв метров
8 этаж из 11

Цена аренды 800$
Депозит",74.6034,42.8704
"2-комн. кв., 60 м2","Бишкек, Московская - Уметалиева, Московская",$ 600,48 939 сом,+996 501 55-15-25,"Описание от арендодателя                                            
Сдам 2-х комнатную квартиру на пересечении улиц Московской/Турусбекова. В квартире созданы все условия для комфортного проживания. С мебелью и быт.техникой. На долгий срок.",74.5826,42.8711
"1-комн. кв., 48 м2","Бишкек, Восток-5 м-н, мкрн Восток-5",$ 368,30 000 сом,+996 700 93-11-70,"Описание от арендодателя                                            
Сдаю 1 ком кв; Восток-5, Евро ремонт, имеется новая бытовая техника и мебель. Цена: 30000 сом в месяц. По всем вопросам звоните.",74.6351,42.8708
"2-комн. кв., 70 м2","Бишкек, 8 м-н, Суеркулова",$ 500,40 783 сом,+996 501 55-15-25,"Описание от арендодателя                                            
Сдам 2-х комнатную квартиру в 8 мкр. Созданы все условия для комфортного проживания.С мебелью и быт.техникой.На долгий срок ,порядочным людям.+Депозит",74.6121,42.8373
"3-комн. кв., 84 м2","Бишкек, Городок строителей, Зеленая 9/2/в элитном ЖК Олимп,",$ 392,32 000 сом,+996 997 70-27-17,"Описание от арендодателя                                            
Сдам новую элитную 3-комнатную квартиру, без мебели, в элитном ЖК Олимп, по улице Зеленая 9/2 (Городок строителей, ориентир мкр Аламедин-1). Круглосуточная охрана, видеонаблюдение, паркинг, детская площадка. Кирпич. 7 этаж/11. 2 скоростных лифта. Отличный, качественный ремонт. 84 кв.м. Аренда 32000 сом/месяц. Приветствуется аренда на длительный период! Без посредников. Просьба звонить по тел. 0 997 702 717",74.6935,42.8738
"2-комн. кв., 75 м2","Бишкек, Парк Панфилова/Спартак, Логвиненко 28",$ 750,61 174 сом,+996 507 08-07-97,"Описание от арендодателя                                            
СДАЕТСЯ 2Х КОМНАТНАЯ КВАРТИРА
ФРУНЗЕ ЛОГВИНЕНКО
75 КВ МЕТРОВ
8 ЭТАЖ ИЗ 12
ПЕРВИЧНАЯ СДАЧА
НА ДЛИТЕЛЬНЫЙ СРОК
В КВАРТИРЕ ИМЕЕТСЯ ВСЕ НЕОБХОДИМОЕ ДЛЯ КОМФОРТНОГО ПРОЖИВАНИЯ

ЦЕНА КВАРТИРЫ 750$
ДЕПОЗИТ",74.5984,42.8819
"2-комн. кв., 61 м2","Бишкек, ЖД вокзал, Орозбекова/Чуйкова",$ 800,65 252 сом,+996 501 55-15-25,"Описание от арендодателя                                            
Сдам 2-х комнатную квартиру в золотом квадрате. Новая квартира , ранее никто не проживал. В квартире созданы все условия. С мебелью и быт.техникой.",74.6023,42.8657
"2-комн. кв., 60 м2","Бишкек, Дордой Плаза, Ибраимова, 113",$ 550,44 861 сом,+996 995 88-10-75,"Описание от арендодателя                                            
Сдается 2х-комнатная квартира в центре города в районе ЦУМа. В квартире имеется все для комфортного проживания: телевизор, кондиционер, холодильник, духовка, плита и другая техника. В шаговой доступности есть : магазины, кафе, банки, развлекательные и культурные учреждения. Развитая инфраструктура и удобная транспортная развязка.
 Доп. описание: санузел раздельный, , пластиковые окна, в доме есть: закрытый двор, ворота, охрана, видеонаблюдение, наземный паркинг, подземный паркинг, гостевой паркинг, лифт пассажирский, современный ремонт, также имеются: телефон, интернет, кабельное телевидение, кондиционер, счетчики холодной и горячей воды, домофон, железная дверь, телевидение, , , , , , Номер в базе: 8336484. Район: Свердловский район",74.6199,42.8727
"2-комн. кв., 49 м2","Бишкек, Центральная мечеть, Гоголя, 6",$ 500,40 783 сом,+996 551 53-00-75,"Описание от арендодателя                                            
Сдается 2-х комнатная квартира с евроремонтом на Гоголя Фрунзе в квартире имеется вся необходимая мебель для проживания, в шаговой доступности есть: магазины, кафе, развлекательные и культурные учреждения .Развитая инфраструктура и удобная транспортная развязка. Сдается на долгий срок. Готовы предоставить мебель.
 Доп. описание: санузел совмещенный, , пластиковые окна, в доме есть: открытый двор, наземный паркинг, гостевой паркинг, без лифта, современный ремонт, также имеются: телефон, интернет, кабельное телевидение, счетчики холодной и горячей воды, домофон, железная дверь, телевидение, , , , , , Номер в базе: 8348827. Район: Свердловский район",74.6197,42.8671
"2-комн. кв., 80 м2","Бишкек, Филармония, Чуй пр-т, 245",$ 800,65 252 сом,+996 995 88-10-75,"Описание от арендодателя                                            
Сдается 2х-комнатная квартира в районе Филармонии со свежим ремонтом. В квартире имеется все для комфортного проживания. В квартире имеется : телевизор, кондиционер, холодильник, духовка, плита и другая техника. В шаговой доступности есть : магазины, кафе, банки, развлекательные и культурные учреждения. Развитая инфраструктура и удобная транспортная развязка.
 Доп. описание: санузел раздельный, , пластиковые окна, в доме есть: детская площадка, открытый двор, наземный паркинг, лифт пассажирский, современный ремонт, также имеются: телефон, интернет, кабельное телевидение, кондиционер, счетчики холодной и горячей воды, домофон, железная дверь, телевидение, , , , , , Номер в базе: 8321656. Район: Первомайский район",74.59,42.8774
"1-комн. кв., 48 м2","Бишкек, Кок-Жар ж/м, Молдокулова/Куйручук",$ 21,1 700 сом,+996 700 20-52-05,"Описание от арендодателя                                            
сутки 1700",74.6438,42.8401
"4-комн. кв., 160 м2","Бишкек, Военторг, Тоголок Молдо/Киевская",$ 1 100,89 722 сом,+996 501 55-15-25,"Описание от арендодателя                                            
Сдам 4-х комнатную квартиру в центре города.Со всеми условиями для комфортного проживания. С мебелью и быт.техникой.",74.5959,42.875
"2-комн. кв., 85 м2","Бишкек, КНУ, Манаса пр-т, 97",$ 500,40 783 сом,+996 995 88-10-75,"Описание от арендодателя                                            
Сдается 2х-комнатная квартира напротив КНУ. В квартире имеется все для комфортного проживания: телевизор, кондиционер, холодильник, духовка, плита и другая техника. В шаговой доступности есть: магазины, кафе, банки, развлекательные и культурные учреждения. Развитая инфраструктура и удобная транспортная развязка.
 Доп. описание: санузел раздельный, , пластиковые окна, в доме есть: детская площадка, открытый двор, наземный паркинг, подземный паркинг, лифт пассажирский, лифт грузовой, современный ремонт, также имеются: телефон, интернет, кабельное телевидение, кондиционер, счетчики холодной и горячей воды, домофон, железная дверь, телевидение, , , , , , Номер в базе: 8336235. Район: Первомайский район",74.5892,42.881
"3-комн. кв., 100 м2","Бишкек, Московская - Белинка, Табышалиева, 13",$ 705,57 504 сом,+996 995 88-10-81,"Описание от арендодателя                                            
Сдается в аренду на длительный срок трехкомнатная благоустроенная квартира, которая находится на пересечении Манаса/Боконбаева(рядом Бишкек Парк). В районе имеются все необходимое учреждения для комфортной жизни. Отличная социальная инфраструктура и хорошая транспортная развязка. В квартире уже есть все необходимое: ( кухонный гарнитур, мягкая мебель, бытовая техника)
 Доп. описание: санузел раздельный, плита газовая, пластиковые окна, в доме есть: открытый двор, наземный паркинг, лифт пассажирский, лифт грузовой, ремонт по дизайн-проекту, также имеются: телефон, интернет, кабельное телевидение, счетчики холодной и горячей воды, домофон, железная дверь, телевидение, , , , , , Номер в базе: 8347628. Район: Ленинский район",74.5862,42.8683
"3-комн. кв., 75 м2","Бишкек, Военторг, Сыдыкова, 198",$ 1 000,81 566 сом,+996 551 53-00-75,"Описание от арендодателя                                            
В районе ТРЦ Караван, который активно развивается и имеет все необходимое учреждения для комфортной жизни (школы, университеты, магазины), в доме расположенном на улице Коенкозова сдается в аренду на длительный срок трехкомнатная благоустроенная квартира. У дома оборудована детская площадка, имеется паркинг, в чистом подъезде имеется лифт. В квартире уже есть все: кухонный гарнитур, мягкая мебель, бытовая техника, проведен интернет - не хватает только Вас!
 Доп. описание: санузел раздельный, , пластиковые окна, в доме есть: детская площадка, закрытый двор, ворота, охрана, наземный паркинг, лифт пассажирский, современный ремонт, также имеются: телефон, интернет, кабельное телевидение, счетчики холодной и горячей воды, домофон, железная дверь, телевидение, , , , , , Номер в базе: 8288593. Район: Первомайский район",74.5926,42.8733
"3-комн. кв., 78 м2","Бишкек, Филармония, Чуй/Турусбекова",$ 1 000,81 566 сом,+996 500 53-33-53,"Описание от арендодателя                                            
Сдаётся 3-х комнатная квартира в центре города со всей необходимой мебелью для комфортного проживания.
Тихий район, двор полностью огорожен, с автоматическими воротами, во дворе есть место для авто. Вся инфраструктура вблизи дома. Рядом расположена Аллея молодежи
Цена 1000$ + депозит",74.5864,42.8778
"4-комн. кв., 158 м2","Бишкек, Магистраль, Токомбаева 27",$ 1 500,122 348 сом,+996 501 55-15-25,"Описание от арендодателя                                            
Сдам 4-х ком квартиру со всеми условиями в ЖК Bristol. С мебелью и быт.техникой. Ранее не сдавалась. Отличный район с современной инфраструктурой, все в пешей доступности. На долгий срок, порядочным людям.",74.6137,42.8221
"2-комн. кв., 43 м2","Бишкек, 5 м-н, 5-й микрорайон, 17а",$ 400,32 626 сом,+996 995 88-10-81,"Описание от арендодателя                                            
Сдается в аренду на длительный срок двухкомнатная благоустроенная квартира, которая находится в 5-ом микрорайоне. Район имеет все необходимое учреждения для комфортной жизни. Отличная социальная инфраструктура и хорошая транспортная развязка. В квартире уже есть: (кухонный гарнитур, мебель, бытовая техника) Отличная социальная инфраструктура и хорошая транспортная развязка.
 Доп. описание: санузел раздельный, , пластиковые окна, в доме есть: детская площадка, открытый двор, наземный паркинг, без лифта, современный ремонт, также имеются: телефон, интернет, кабельное телевидение, кондиционер, счетчики холодной и горячей воды, домофон, железная дверь, телевидение, , , , , , , , Номер в базе: 8315522. Район: Октябрьский район",74.6298,42.8333
"2-комн. кв., 70 м2","Бишкек, Магистраль, Сухэ-Батора/Токомбаева",$ 700,57 096 сом,+996 501 55-15-25,"Описание от арендодателя                                            
Сдам 2-х комнатную квартиру в английском квартале. Квартира новая. Со всеми условиями. На долгий срок.",74.6134,42.8187
"3-комн. кв., 120 м2","Бишкек, Сквер Тоголок Молдо, чуйкова/коенкозова",$ 1 000,81 566 сом,+996 507 08-07-97,"Описание от арендодателя                                            
сдается 3х комнатная квартира
чуйкова коенкозова",74.5925,42.8675
"2-комн. кв., 62 м2","Бишкек, КНУ, шефченко/фрунзе",$ 600,48 939 сом,+996 507 08-07-97,"Описание от арендодателя                                            
Сдается 2х комнатная квартира
Шефченко Фрунзе
62 кв метров
8 этаж их 10

цена аренды 600$
Депозит",74.5837,42.8814
"3-комн. кв., 60 м2","Бишкек, ЖД вокзал, Орозбекова, 2",$ 900,73 409 сом,+996 995 88-10-75,"Описание от арендодателя                                            
Сдается 3 комнатная квартира (переделанная планировка), в хорошем районе - ( Золотой квадрат ). 60 квадратных метров. На 5 этаже из 10. Рядом магазины, кофейни, аптеки, бульвар Эркиндик. Все коммуникации центральные. Дом Сакура - Турецский Застройщик. Сделан хороший, свежий евро ремонт. Есть встроенная мебель. Квартира отлично подходит для молодых семей и тд. Имеются теплые полы. Всего в доме 41 квартир - 1 подъездный дом.
 Доп. описание: санузел раздельный, , пластиковые окна, в доме есть: детская площадка, закрытый двор, ворота, охрана, видеонаблюдение, наземный паркинг, гостевой паркинг, лифт пассажирский, современный ремонт, также имеются: телефон, интернет, кабельное телевидение, кондиционер, счетчики холодной и горячей воды, домофон, железная дверь, телевидение, , , , , , Номер в базе: 8268981. Район: Первомайский район",74.601,42.8649
"4-комн. кв., 147 м2","Бишкек, Физкультурный, Суванбердиева, 102",$ 1 800,146 818 сом,+996 995 88-10-55,"Описание от арендодателя                                            
Сдается четырехкомнатная благоустроенная квартира в районе физкультурного университета, в доме расположенном на улице Суванбердинова сдается на длительный срок. У дома оборудована детская площадка, имеется паркинг,- Университеты парки. идеальный вариант для Вас и Ваших близких. ( для проживания - осталось только перевезти свои вещи). Придомовая территория включает в себя детскую площадку, где ваши дети смогу найти себе новых друзей , где ваш автомобиль будет в безопасности. Ещё район имеет удобную транспортную развязку, которая позволит вам в миг добраться до пункта назначения.В шаговой доступности расположен остановочный комплекс.
 Доп. описание: санузел раздельный, плита газовая, пластиковые окна, в доме есть: детская площадка, закрытый двор, ворота, видеонаблюдение, наземный паркинг, лифт пассажирский, современный ремонт, также имеются: телефон, интернет, кабельное телевидение, счетчики холодной и горячей воды, домофон, железная дверь, телевидение, , , , , , , система водонагрева, , Номер в базе: 8352437. Район: Октябрьский район",74.6133,42.8461
"3-комн. кв., 125 м2","Бишкек, Филармония, Чуй пр-т, 245",$ 700,57 096 сом,+996 995 88-10-75,"Описание от арендодателя                                            
Сдается 3х-комнатная квартира в центре города. В квартире имеется все для комфортного проживания: телевизор, кондиционер, холодильник, духовка, плита и другая техника. В шаговой доступности есть: магазины, кафе, банки, развлекательные и культурные учреждения. Развитая инфраструктура и удобная транспортная развязка.
 Доп. описание: санузел раздельный, , пластиковые окна, в доме есть: детская площадка, открытый двор, наземный паркинг, лифт пассажирский, косметический ремонт, также имеются: телефон, интернет, кабельное телевидение, кондиционер, счетчики холодной и горячей воды, домофон, железная дверь, телевидение, , , , , , Номер в базе: 8335837. Район: Первомайский район",74.59,42.8774
"2-комн. кв., 70 м2","Бишкек, Карпинка, Фрунзе 300/3/Гоголя",$ 700,57 096 сом,+996 507 08-07-97,"Описание от арендодателя                                            
Сдается 2х комнатная квартира
Гоголя фрунзе
11 этаж из 16
Новый элитный дом

Цена аренды 700$
Депозит",74.6204,42.8804
"2-комн. кв., 80 м2","Бишкек, Тыналиева, 2",$ 600,48 939 сом,+996 995 88-10-81,"Описание от арендодателя                                            
Сдается в аренду на длительный срок двухкомнатная благоустроенная квартира, которая находится в мкр Джал(рядом мечеть, университет Манас). Район имеет все необходимое учреждения для комфортной жизни. Отличная социальная инфраструктура и хорошая транспортная развязка. В квартире уже есть: ( кухонный гарнитур, мягкая мебель, бытовая техника) Отличная социальная инфраструктура и хорошая транспортная развязка. Закрытый двор, детская площадка.
 Доп. описание: санузел раздельный, плита газовая, пластиковые окна, в доме есть: детская площадка, закрытый двор, ворота, наземный паркинг, лифт пассажирский, лифт грузовой, современный ремонт, также имеются: телефон, интернет, кабельное телевидение, кондиционер, счетчики холодной и горячей воды, домофон, железная дверь, телевидение, , , , , , , Номер в базе: 8315040. Район: Ленинский район",74.5706,42.8403
